Genetic Feature,Recurrent Gain Loss,Genes in Segment
cnaPANCAN162,loss,PNPLA7
cnaPANCAN162,loss,RNF208
cnaPANCAN162,loss,SLC34A3
cnaPANCAN162,loss,TOR4A
cnaPANCAN162,loss,TUBB4B
cnaPANCAN162,loss,ZMYND19
cnaPANCAN163,gain,ACRBP
cnaPANCAN163,gain,ACSM4
cnaPANCAN163,gain,ADIPOR2
cnaPANCAN163,gain,AKAP3
cnaPANCAN163,gain,ANO2
cnaPANCAN163,gain,ATN1
cnaPANCAN163,gain,C12orf4
cnaPANCAN163,gain,C12orf5
cnaPANCAN163,gain,C12orf57
cnaPANCAN163,gain,C1R
cnaPANCAN163,gain,C1RL
cnaPANCAN163,gain,C1S
cnaPANCAN163,gain,CACNA1C
cnaPANCAN163,gain,CACNA2D4
cnaPANCAN163,gain,CCND2
cnaPANCAN163,gain,CD163
cnaPANCAN163,gain,CD163L1
cnaPANCAN163,gain,CD27
cnaPANCAN163,gain,CD4
cnaPANCAN163,gain,CD9
cnaPANCAN163,gain,CDCA3
cnaPANCAN163,gain,CHD4
cnaPANCAN163,gain,CLSTN3
cnaPANCAN163,gain,COPS7A
cnaPANCAN163,gain,DCP1B
cnaPANCAN163,gain,DYRK4
cnaPANCAN163,gain,EFCAB4B
cnaPANCAN163,gain,EMG1
cnaPANCAN163,gain,ENO2
cnaPANCAN163,gain,ERC1
cnaPANCAN163,gain,FBXL14
cnaPANCAN163,gain,FGF23
cnaPANCAN163,gain,FGF6
cnaPANCAN163,gain,FKBP4
cnaPANCAN163,gain,FOXM1
cnaPANCAN163,gain,GALNT8
cnaPANCAN163,gain,GAPDH
cnaPANCAN163,gain,GNB3
cnaPANCAN163,gain,GPR162
cnaPANCAN163,gain,IFFO1
cnaPANCAN163,gain,ING4
cnaPANCAN163,gain,ITFG2
cnaPANCAN163,gain,KCNA1
cnaPANCAN163,gain,KCNA5
cnaPANCAN163,gain,KCNA6
cnaPANCAN163,gain,LAG3
cnaPANCAN163,gain,LPAR5
cnaPANCAN163,gain,LPCAT3
cnaPANCAN163,gain,LRRC23
cnaPANCAN163,gain,LRTM2
cnaPANCAN163,gain,LTBR
cnaPANCAN163,gain,MLF2
cnaPANCAN163,gain,MRPL51
cnaPANCAN163,gain,NCAPD2
cnaPANCAN163,gain,NDUFA9
cnaPANCAN163,gain,NOP2
cnaPANCAN163,gain,NRIP2
cnaPANCAN163,gain,NTF3
cnaPANCAN163,gain,PARP11
cnaPANCAN163,gain,PEX5
cnaPANCAN163,gain,PHB2
cnaPANCAN163,gain,PIANP
cnaPANCAN163,gain,PLEKHG6
cnaPANCAN163,gain,PRMT8
cnaPANCAN163,gain,PTMS
cnaPANCAN163,gain,PTPN6
cnaPANCAN163,gain,RAD51AP1
cnaPANCAN163,gain,RAD52
cnaPANCAN163,gain,RBP5
cnaPANCAN163,gain,RHNO1
cnaPANCAN163,gain,RP11-234B24.6
cnaPANCAN163,gain,RP11-500M8.7
cnaPANCAN163,gain,SCNN1A
cnaPANCAN163,gain,SPSB2
cnaPANCAN163,gain,TAPBPL
cnaPANCAN163,gain,TEAD4
cnaPANCAN163,gain,TNFRSF1A
cnaPANCAN163,gain,TPI1
cnaPANCAN163,gain,TSPAN9
cnaPANCAN163,gain,TULP3
cnaPANCAN163,gain,USP5
cnaPANCAN163,gain,VAMP1
cnaPANCAN163,gain,VWF
cnaPANCAN163,gain,WNK1
cnaPANCAN163,gain,WNT5B
cnaPANCAN163,gain,ZNF384
cnaPANCAN164,gain,ABCC9
cnaPANCAN164,gain,AEBP2
cnaPANCAN164,gain,AMN1
cnaPANCAN164,gain,ARNTL2
cnaPANCAN164,gain,ASUN
cnaPANCAN164,gain,BCAT1
cnaPANCAN164,gain,BHLHE41
cnaPANCAN164,gain,BICD1
cnaPANCAN164,gain,C12orf39
cnaPANCAN164,gain,C12orf71
cnaPANCAN164,gain,C12orf77
cnaPANCAN164,gain,C2CD5
cnaPANCAN164,gain,CAPRIN2
cnaPANCAN164,gain,CAPZA3
cnaPANCAN164,gain,CASC1
cnaPANCAN164,gain,CCDC91
cnaPANCAN164,gain,CMAS
cnaPANCAN164,gain,DDX11
cnaPANCAN164,gain,DENND5B
cnaPANCAN164,gain,DNM1L
cnaPANCAN164,gain,ERGIC2
cnaPANCAN164,gain,ETNK1
cnaPANCAN164,gain,FAM60A
cnaPANCAN164,gain,FAR2
cnaPANCAN164,gain,FGD4
cnaPANCAN164,gain,FGFR1OP2
cnaPANCAN164,gain,GOLT1B
cnaPANCAN164,gain,GYS2
cnaPANCAN164,gain,H3F3C
cnaPANCAN164,gain,IAPP
cnaPANCAN164,gain,IFLTD1
cnaPANCAN164,gain,IPO8
cnaPANCAN164,gain,ITPR2
cnaPANCAN164,gain,KCNJ8
cnaPANCAN164,gain,KIAA1551
cnaPANCAN164,gain,KLHL42
cnaPANCAN164,gain,KRAS
cnaPANCAN164,gain,LDHB
cnaPANCAN164,gain,LRMP
cnaPANCAN164,gain,LST3
cnaPANCAN164,gain,LYRM5
cnaPANCAN164,gain,MANSC4
cnaPANCAN164,gain,MED21
cnaPANCAN164,gain,METTL20
cnaPANCAN164,gain,MRPS35
cnaPANCAN164,gain,OVCH1
cnaPANCAN164,gain,OVCH1-AS1
cnaPANCAN164,gain,PDE3A
cnaPANCAN164,gain,PIK3C2G
cnaPANCAN164,gain,PKP2
cnaPANCAN164,gain,PLCZ1
cnaPANCAN164,gain,PLEKHA5
cnaPANCAN164,gain,PPFIBP1
cnaPANCAN164,gain,PTHLH
cnaPANCAN164,gain,PYROXD1
cnaPANCAN164,gain,RASSF8
cnaPANCAN164,gain,RECQL
cnaPANCAN164,gain,REP15
cnaPANCAN164,gain,RERGL
cnaPANCAN164,gain,RP11-125O5.2
cnaPANCAN164,gain,SLCO1A2
cnaPANCAN164,gain,SLCO1B1
cnaPANCAN164,gain,SLCO1B3
cnaPANCAN164,gain,SLCO1B7
cnaPANCAN164,gain,SLCO1C1
cnaPANCAN164,gain,SMCO2
cnaPANCAN164,gain,SOX5
cnaPANCAN164,gain,SSPN
cnaPANCAN164,gain,ST8SIA1
cnaPANCAN164,gain,STK38L
cnaPANCAN164,gain,TM7SF3
cnaPANCAN164,gain,TMTC1
cnaPANCAN164,gain,TSPAN11
cnaPANCAN164,gain,YARS2
cnaPANCAN165,gain,AGAP2
cnaPANCAN165,gain,AGAP2-AS1
cnaPANCAN165,gain,AVIL
cnaPANCAN165,gain,CDK4
cnaPANCAN165,gain,CTDSP2
cnaPANCAN165,gain,CYP27B1
cnaPANCAN165,gain,MARCH9
cnaPANCAN165,gain,METTL1
cnaPANCAN165,gain,METTL21B
cnaPANCAN165,gain,OS9
cnaPANCAN165,gain,RP11-571M6.15
cnaPANCAN165,gain,TSFM
cnaPANCAN165,gain,TSPAN31
cnaPANCAN165,gain,XRCC6BP1
cnaPANCAN166,gain,AC025263.3
cnaPANCAN166,gain,AVPR1A
cnaPANCAN166,gain,BEST3
cnaPANCAN166,gain,C12orf56
cnaPANCAN166,gain,C12orf61
cnaPANCAN166,gain,C12orf66
cnaPANCAN166,gain,CAND1
cnaPANCAN166,gain,CCT2
cnaPANCAN166,gain,CNOT2
cnaPANCAN166,gain,CPM
cnaPANCAN166,gain,CPSF6
cnaPANCAN166,gain,CTD-2021H9.3
cnaPANCAN166,gain,DPY19L2
cnaPANCAN166,gain,DYRK2
cnaPANCAN166,gain,FAM19A2
cnaPANCAN166,gain,FRS2
cnaPANCAN166,gain,GNS
cnaPANCAN166,gain,GRIP1
cnaPANCAN166,gain,HELB
cnaPANCAN166,gain,HMGA2
cnaPANCAN166,gain,IFNG
cnaPANCAN166,gain,IL22
cnaPANCAN166,gain,IL26
cnaPANCAN166,gain,IRAK3
cnaPANCAN166,gain,KCNMB4
cnaPANCAN166,gain,LEMD3
cnaPANCAN166,gain,LGR5
cnaPANCAN166,gain,LLPH
cnaPANCAN166,gain,LRRC10
cnaPANCAN166,gain,LYZ
cnaPANCAN166,gain,MDM1
cnaPANCAN166,gain,MDM2
cnaPANCAN166,gain,MON2
cnaPANCAN166,gain,MSRB3
cnaPANCAN166,gain,MYRFL
cnaPANCAN166,gain,NUP107
cnaPANCAN166,gain,PPM1H
cnaPANCAN166,gain,PTPRB
cnaPANCAN166,gain,PTPRR
cnaPANCAN166,gain,RAB21
cnaPANCAN166,gain,RAB3IP
cnaPANCAN166,gain,RAP1B
cnaPANCAN166,gain,RASSF3
cnaPANCAN166,gain,RP11-293I14.2
cnaPANCAN166,gain,RP11-366L20.2
cnaPANCAN166,gain,SLC35E3
cnaPANCAN166,gain,SRGAP1
cnaPANCAN166,gain,TBC1D30
cnaPANCAN166,gain,TBK1
cnaPANCAN166,gain,THAP2
cnaPANCAN166,gain,TMBIM4
cnaPANCAN166,gain,TMBIM4
cnaPANCAN166,gain,TMEM19
cnaPANCAN166,gain,TMEM5
cnaPANCAN166,gain,TSPAN8
cnaPANCAN166,gain,USP15
cnaPANCAN166,gain,WIF1
cnaPANCAN166,gain,XPOT
cnaPANCAN166,gain,YEATS4
cnaPANCAN166,gain,ZFC3H1
cnaPANCAN167,loss,TEAD4
cnaPANCAN168,loss,PHC1
cnaPANCAN169,loss,ERP27
cnaPANCAN170,loss,SLC38A1
cnaPANCAN171,loss,SLC5A8
cnaPANCAN172,loss,RFX4
cnaPANCAN172,loss,RP11-144F15.1
cnaPANCAN173,loss,TMEM132B
cnaPANCAN174,loss,TMEM132B
cnaPANCAN175,loss,DDX51
cnaPANCAN175,loss,EP400NL
cnaPANCAN175,loss,FBRSL1
cnaPANCAN175,loss,FZD10
cnaPANCAN175,loss,GALNT9
cnaPANCAN175,loss,GLT1D1
cnaPANCAN175,loss,GPR133
cnaPANCAN175,loss,MMP17
cnaPANCAN175,loss,NOC4L
cnaPANCAN175,loss,PIWIL1
cnaPANCAN175,loss,PUS1
cnaPANCAN175,loss,RAN
cnaPANCAN175,loss,RIMBP2
cnaPANCAN175,loss,SFSWAP
cnaPANCAN175,loss,SLC15A4
cnaPANCAN175,loss,STX2
cnaPANCAN175,loss,TMEM132C
cnaPANCAN175,loss,TMEM132D
cnaPANCAN175,loss,ULK1
cnaPANCAN176,gain,ADAMTS16
cnaPANCAN176,gain,ADCY2
cnaPANCAN176,gain,ANKH
cnaPANCAN176,gain,ANKRD33B
cnaPANCAN176,gain,BASP1
cnaPANCAN176,gain,C5orf17
cnaPANCAN176,gain,C5orf38
cnaPANCAN176,gain,C5orf49
cnaPANCAN176,gain,CCT5
cnaPANCAN176,gain,CDH10
cnaPANCAN176,gain,CDH12
cnaPANCAN176,gain,CDH18
cnaPANCAN176,gain,CLPTM1L
cnaPANCAN176,gain,CMBL
cnaPANCAN176,gain,CTNND2
cnaPANCAN176,gain,DAP
cnaPANCAN176,gain,DNAH5
cnaPANCAN176,gain,FAM105A
cnaPANCAN176,gain,FAM105B
cnaPANCAN176,gain,FAM134B
cnaPANCAN176,gain,FAM173B
cnaPANCAN176,gain,FASTKD3
cnaPANCAN176,gain,FBXL7
cnaPANCAN176,gain,IRX1
cnaPANCAN176,gain,IRX2
cnaPANCAN176,gain,IRX4
cnaPANCAN176,gain,KIAA0947
cnaPANCAN176,gain,LPCAT1
cnaPANCAN176,gain,MARCH11
cnaPANCAN176,gain,MARCH6
cnaPANCAN176,gain,MED10
cnaPANCAN176,gain,MRPL36
cnaPANCAN176,gain,MTRR
cnaPANCAN176,gain,MYO10
cnaPANCAN176,gain,NDUFS6
cnaPANCAN176,gain,NKD2
cnaPANCAN176,gain,NSUN2
cnaPANCAN176,gain,PAPD7
cnaPANCAN176,gain,PRDM9
cnaPANCAN176,gain,ROPN1L
cnaPANCAN176,gain,RP11-1C1.5
cnaPANCAN176,gain,RP11-661C8.3
cnaPANCAN176,gain,SEMA5A
cnaPANCAN176,gain,SLC12A7
cnaPANCAN176,gain,SLC6A18
cnaPANCAN176,gain,SLC6A19
cnaPANCAN176,gain,SLC6A3
cnaPANCAN176,gain,SRD5A1
cnaPANCAN176,gain,TAS2R1
cnaPANCAN176,gain,TERT
cnaPANCAN176,gain,TRIO
cnaPANCAN176,gain,TRIP13
cnaPANCAN176,gain,UBE2QL1
cnaPANCAN176,gain,ZNF622
cnaPANCAN177,gain,ADAMTS12
cnaPANCAN177,gain,AGXT2
cnaPANCAN177,gain,AMACR
cnaPANCAN177,gain,ANXA2R
cnaPANCAN177,gain,BRIX1
cnaPANCAN177,gain,C1QTNF3
cnaPANCAN177,gain,C5orf22
cnaPANCAN177,gain,C5orf28
cnaPANCAN177,gain,C5orf34
cnaPANCAN177,gain,C5orf42
cnaPANCAN177,gain,C5orf51
cnaPANCAN177,gain,C6
cnaPANCAN177,gain,C7
cnaPANCAN177,gain,C9
cnaPANCAN177,gain,CAPSL
cnaPANCAN177,gain,CARD6
cnaPANCAN177,gain,CCDC152
cnaPANCAN177,gain,CCL28
cnaPANCAN177,gain,CDH6
cnaPANCAN177,gain,DAB2
cnaPANCAN177,gain,DNAJC21
cnaPANCAN177,gain,DROSHA
cnaPANCAN177,gain,EGFLAM
cnaPANCAN177,gain,FBXO4
cnaPANCAN177,gain,FGF10
cnaPANCAN177,gain,FYB
cnaPANCAN177,gain,GDNF
cnaPANCAN177,gain,GHR
cnaPANCAN177,gain,GOLPH3
cnaPANCAN177,gain,HCN1
cnaPANCAN177,gain,HMGCS1
cnaPANCAN177,gain,IL7R
cnaPANCAN177,gain,LIFR
cnaPANCAN177,gain,LMBRD2
cnaPANCAN177,gain,MROH2B
cnaPANCAN177,gain,MRPS30
cnaPANCAN177,gain,MTMR12
cnaPANCAN177,gain,NADK2
cnaPANCAN177,gain,NIM1K
cnaPANCAN177,gain,NIPBL
cnaPANCAN177,gain,NNT
cnaPANCAN177,gain,NPR3
cnaPANCAN177,gain,NUP155
cnaPANCAN177,gain,OSMR
cnaPANCAN177,gain,OXCT1
cnaPANCAN177,gain,PAIP1
cnaPANCAN177,gain,PDZD2
cnaPANCAN177,gain,PLCXD3
cnaPANCAN177,gain,PRKAA1
cnaPANCAN177,gain,PRLR
cnaPANCAN177,gain,PTGER4
cnaPANCAN177,gain,RAD1
cnaPANCAN177,gain,RAI14
cnaPANCAN177,gain,RANBP3L
cnaPANCAN177,gain,RICTOR
cnaPANCAN177,gain,RP11-1084J3.4
cnaPANCAN177,gain,RPL37
cnaPANCAN177,gain,RXFP3
cnaPANCAN177,gain,SEPP1
cnaPANCAN177,gain,SKP2
cnaPANCAN177,gain,SLC1A3
cnaPANCAN177,gain,SLC45A2
cnaPANCAN177,gain,SPEF2
cnaPANCAN177,gain,SUB1
cnaPANCAN177,gain,TARS
cnaPANCAN177,gain,TTC23L
cnaPANCAN177,gain,TTC33
cnaPANCAN177,gain,UGT3A1
cnaPANCAN177,gain,UGT3A2
cnaPANCAN177,gain,WDR70
cnaPANCAN177,gain,ZFR
cnaPANCAN177,gain,ZNF131
cnaPANCAN178,gain,CHD1
cnaPANCAN178,gain,FAM174A
cnaPANCAN178,gain,RGMB
cnaPANCAN179,loss,ANKRD55
cnaPANCAN179,loss,IL6ST
cnaPANCAN180,loss,MIER3
cnaPANCAN181,loss,PDE4D
cnaPANCAN182,loss,ARHGEF28
cnaPANCAN183,loss,IQGAP2
cnaPANCAN184,loss,AC011366.3
cnaPANCAN184,loss,APC
cnaPANCAN184,loss,C5orf30
cnaPANCAN184,loss,CAMK4
cnaPANCAN184,loss,CCDC112
cnaPANCAN184,loss,CTC-487M23.8
cnaPANCAN184,loss,CTC-554D6.1
cnaPANCAN184,loss,DCP2
cnaPANCAN184,loss,EFNA5
cnaPANCAN184,loss,EPB41L4A
cnaPANCAN184,loss,FAM174A
cnaPANCAN184,loss,FBXL17
cnaPANCAN184,loss,FER
cnaPANCAN184,loss,GIN1
cnaPANCAN184,loss,KCNN2
cnaPANCAN184,loss,MAN2A1
cnaPANCAN184,loss,MCC
cnaPANCAN184,loss,NREP
cnaPANCAN184,loss,NUDT12
cnaPANCAN184,loss,PAM
cnaPANCAN184,loss,PGGT1B
cnaPANCAN184,loss,PJA2
cnaPANCAN184,loss,PPIP5K2
cnaPANCAN184,loss,REEP5
cnaPANCAN184,loss,SLC25A46
cnaPANCAN184,loss,SLCO4C1
cnaPANCAN184,loss,SLCO6A1
cnaPANCAN184,loss,SRP19
cnaPANCAN184,loss,ST8SIA4
cnaPANCAN184,loss,STARD4
cnaPANCAN184,loss,TMEM232
cnaPANCAN184,loss,TRIM36
cnaPANCAN184,loss,TSLP
cnaPANCAN184,loss,TSSK1B
cnaPANCAN184,loss,WDR36
cnaPANCAN184,loss,YTHDC2
cnaPANCAN184,loss,ZRSR1
cnaPANCAN185,loss,CTC-432M15.3
cnaPANCAN185,loss,RAPGEF6
cnaPANCAN186,loss,PCDHGA1
cnaPANCAN186,loss,PCDHGA10
cnaPANCAN186,loss,PCDHGA11
cnaPANCAN186,loss,PCDHGA12
cnaPANCAN186,loss,PCDHGA2
cnaPANCAN186,loss,PCDHGA3
cnaPANCAN186,loss,PCDHGA4
cnaPANCAN186,loss,PCDHGA5
cnaPANCAN186,loss,PCDHGA6
cnaPANCAN186,loss,PCDHGA7
cnaPANCAN186,loss,PCDHGA8
cnaPANCAN186,loss,PCDHGA9
cnaPANCAN186,loss,PCDHGB1
cnaPANCAN186,loss,PCDHGB2
cnaPANCAN186,loss,PCDHGB3
cnaPANCAN186,loss,PCDHGB4
cnaPANCAN186,loss,PCDHGB6
cnaPANCAN186,loss,PCDHGB7
cnaPANCAN186,loss,PCDHGC3
cnaPANCAN186,loss,PCDHGC4
cnaPANCAN186,loss,PCDHGC5
cnaPANCAN187,loss,PDE6A
cnaPANCAN188,loss,CAMK2A
cnaPANCAN189,loss,HRH2
cnaPANCAN190,gain,ADD1
cnaPANCAN190,gain,C4orf48
cnaPANCAN190,gain,CRIPAK
cnaPANCAN190,gain,CTBP1
cnaPANCAN190,gain,DOK7
cnaPANCAN190,gain,FAM193A
cnaPANCAN190,gain,FAM53A
cnaPANCAN190,gain,FGFR3
cnaPANCAN190,gain,GRK4
cnaPANCAN190,gain,HAUS3
cnaPANCAN190,gain,HGFAC
cnaPANCAN190,gain,HTT
cnaPANCAN190,gain,LETM1
cnaPANCAN190,gain,MAEA
cnaPANCAN190,gain,MFSD10
cnaPANCAN190,gain,MSANTD1
cnaPANCAN190,gain,MXD4
cnaPANCAN190,gain,NAT8L
cnaPANCAN190,gain,NELFA
cnaPANCAN190,gain,NKX1-1
cnaPANCAN190,gain,NOP14
cnaPANCAN190,gain,POLN
cnaPANCAN190,gain,RGS12
cnaPANCAN190,gain,RNF212
cnaPANCAN190,gain,RNF4
cnaPANCAN190,gain,RP11-503N18.3
cnaPANCAN190,gain,SH3BP2
cnaPANCAN190,gain,SLBP
cnaPANCAN190,gain,SPON2
cnaPANCAN190,gain,TACC3
cnaPANCAN190,gain,TMEM129
cnaPANCAN190,gain,TNIP2
cnaPANCAN190,gain,UVSSA
cnaPANCAN190,gain,WHSC1
cnaPANCAN190,gain,ZFYVE28
cnaPANCAN191,gain,CHIC2
cnaPANCAN191,gain,FIP1L1
cnaPANCAN191,gain,GSX2
cnaPANCAN191,gain,PDGFRA
cnaPANCAN192,gain,FIP1L1
cnaPANCAN192,gain,PDGFRA
cnaPANCAN193,loss,CTBP1
cnaPANCAN194,loss,FGFR3
cnaPANCAN195,loss,FAM193A
cnaPANCAN195,loss,TNIP2
cnaPANCAN196,loss,WFS1
cnaPANCAN197,loss,TBC1D14
cnaPANCAN198,loss,CPZ
cnaPANCAN198,loss,GPR78
cnaPANCAN199,loss,PROM1
cnaPANCAN200,loss,SEL1L3
cnaPANCAN201,loss,TBC1D1
cnaPANCAN202,loss,RUFY3
cnaPANCAN203,loss,HNRNPD
cnaPANCAN204,loss,KLHL8
cnaPANCAN205,loss,CCSER1
cnaPANCAN205,loss,RP11-763F8.1
cnaPANCAN206,loss,RP11-766F14.2
cnaPANCAN207,loss,SYNPO2
cnaPANCAN208,loss,PABPC4L
cnaPANCAN208,loss,PCDH18
cnaPANCAN209,loss,INPP4B
cnaPANCAN210,loss,AADAT
cnaPANCAN210,loss,ACSL1
cnaPANCAN210,loss,ADAM29
cnaPANCAN210,loss,AGA
cnaPANCAN210,loss,ANKRD37
cnaPANCAN210,loss,ANXA10
cnaPANCAN210,loss,ASB5
cnaPANCAN210,loss,C4orf27
cnaPANCAN210,loss,C4orf45
cnaPANCAN210,loss,C4orf46
cnaPANCAN210,loss,C4orf47
cnaPANCAN210,loss,CASP3
cnaPANCAN210,loss,CBR4
cnaPANCAN210,loss,CCDC110
cnaPANCAN210,loss,CDKN2AIP
cnaPANCAN210,loss,CENPU
cnaPANCAN210,loss,CEP44
cnaPANCAN210,loss,CLCN3
cnaPANCAN210,loss,CLDN22
cnaPANCAN210,loss,CLDN24
cnaPANCAN210,loss,CPE
cnaPANCAN210,loss,CYP4V2
cnaPANCAN210,loss,DCTD
cnaPANCAN210,loss,DDX60
cnaPANCAN210,loss,DDX60L
cnaPANCAN210,loss,ENPP6
cnaPANCAN210,loss,ETFDH
cnaPANCAN210,loss,F11
cnaPANCAN210,loss,FAM149A
cnaPANCAN210,loss,FAM198B
cnaPANCAN210,loss,FAM218A
cnaPANCAN210,loss,FAT1
cnaPANCAN210,loss,FBXO8
cnaPANCAN210,loss,FNIP2
cnaPANCAN210,loss,FSTL5
cnaPANCAN210,loss,GALNT7
cnaPANCAN210,loss,GALNTL6
cnaPANCAN210,loss,GLRA3
cnaPANCAN210,loss,GLRB
cnaPANCAN210,loss,GPM6A
cnaPANCAN210,loss,GRIA2
cnaPANCAN210,loss,HAND2
cnaPANCAN210,loss,HELT
cnaPANCAN210,loss,HMGB2
cnaPANCAN210,loss,HPGD
cnaPANCAN210,loss,ING2
cnaPANCAN210,loss,IRF2
cnaPANCAN210,loss,KIAA1430
cnaPANCAN210,loss,KLHL2
cnaPANCAN210,loss,KLKB1
cnaPANCAN210,loss,LINC01098
cnaPANCAN210,loss,LRP2BP
cnaPANCAN210,loss,MARCH1
cnaPANCAN210,loss,MFAP3L
cnaPANCAN210,loss,MSMO1
cnaPANCAN210,loss,MTNR1A
cnaPANCAN210,loss,NAF1
cnaPANCAN210,loss,NEIL3
cnaPANCAN210,loss,NEK1
cnaPANCAN210,loss,NPY1R
cnaPANCAN210,loss,NPY5R
cnaPANCAN210,loss,PALLD
cnaPANCAN210,loss,PDGFC
cnaPANCAN210,loss,PDLIM3
cnaPANCAN210,loss,PPID
cnaPANCAN210,loss,PRIMPOL
cnaPANCAN210,loss,RAPGEF2
cnaPANCAN210,loss,RP11-171N4.2
cnaPANCAN210,loss,RP11-215A19.2
cnaPANCAN210,loss,RP11-279O9.4
cnaPANCAN210,loss,RP11-487E13.1
cnaPANCAN210,loss,RP11-701P16.2
cnaPANCAN210,loss,RWDD4
cnaPANCAN210,loss,RXFP1
cnaPANCAN210,loss,SAP30
cnaPANCAN210,loss,SCRG1
cnaPANCAN210,loss,SH3RF1
cnaPANCAN210,loss,SLC25A4
cnaPANCAN210,loss,SNX25
cnaPANCAN210,loss,SORBS2
cnaPANCAN210,loss,SPATA4
cnaPANCAN210,loss,SPCS3
cnaPANCAN210,loss,SPOCK3
cnaPANCAN210,loss,STOX2
cnaPANCAN210,loss,TENM3
cnaPANCAN210,loss,TKTL2
cnaPANCAN210,loss,TLL1
cnaPANCAN210,loss,TLR3
cnaPANCAN210,loss,TMA16
cnaPANCAN210,loss,TMEM144
cnaPANCAN210,loss,TMEM192
cnaPANCAN210,loss,TRAPPC11
cnaPANCAN210,loss,TRIM60
cnaPANCAN210,loss,TRIM61
cnaPANCAN210,loss,UFSP2
cnaPANCAN210,loss,VEGFC
cnaPANCAN210,loss,WDR17
cnaPANCAN210,loss,WWC2
cnaPANCAN211,gain,ACOT13
cnaPANCAN211,gain,ADTRP
cnaPANCAN211,gain,ALDH5A1
cnaPANCAN211,gain,ATXN1
cnaPANCAN211,gain,C6orf229
cnaPANCAN211,gain,C6orf62
cnaPANCAN211,gain,CAP2
cnaPANCAN211,gain,CD83
cnaPANCAN211,gain,CDKAL1
cnaPANCAN211,gain,DCDC2
cnaPANCAN211,gain,DEK
cnaPANCAN211,gain,DTNBP1
cnaPANCAN211,gain,E2F3
cnaPANCAN211,gain,EDN1
cnaPANCAN211,gain,FAM65B
cnaPANCAN211,gain,FAM8A1
cnaPANCAN211,gain,GFOD1
cnaPANCAN211,gain,GMNN
cnaPANCAN211,gain,GMPR
cnaPANCAN211,gain,GPLD1
cnaPANCAN211,gain,HDGFL1
cnaPANCAN211,gain,HIST1H2AA
cnaPANCAN211,gain,HIST1H2BA
cnaPANCAN211,gain,HIVEP1
cnaPANCAN211,gain,ID4
cnaPANCAN211,gain,JARID2
cnaPANCAN211,gain,KAAG1
cnaPANCAN211,gain,KDM1B
cnaPANCAN211,gain,KIAA0319
cnaPANCAN211,gain,KIF13A
cnaPANCAN211,gain,LRRC16A
cnaPANCAN211,gain,MBOAT1
cnaPANCAN211,gain,MCUR1
cnaPANCAN211,gain,MRS2
cnaPANCAN211,gain,MYLIP
cnaPANCAN211,gain,NEDD9
cnaPANCAN211,gain,NHLRC1
cnaPANCAN211,gain,NOL7
cnaPANCAN211,gain,NRSN1
cnaPANCAN211,gain,NUP153
cnaPANCAN211,gain,PHACTR1
cnaPANCAN211,gain,PRL
cnaPANCAN211,gain,RANBP9
cnaPANCAN211,gain,RBM24
cnaPANCAN211,gain,RNF144B
cnaPANCAN211,gain,RNF182
cnaPANCAN211,gain,SCGN
cnaPANCAN211,gain,SIRT5
cnaPANCAN211,gain,SLC17A1
cnaPANCAN211,gain,SLC17A3
cnaPANCAN211,gain,SLC17A4
cnaPANCAN211,gain,SMIM13
cnaPANCAN211,gain,SOX4
cnaPANCAN211,gain,STMND1
cnaPANCAN211,gain,TBC1D7
cnaPANCAN211,gain,TDP2
cnaPANCAN211,gain,TMEM170B
cnaPANCAN211,gain,TPMT
cnaPANCAN212,gain,AARS2
cnaPANCAN212,gain,ABCC10
cnaPANCAN212,gain,APOBEC2
cnaPANCAN212,gain,BYSL
cnaPANCAN212,gain,C6orf132
cnaPANCAN212,gain,C6orf223
cnaPANCAN212,gain,C6orf226
cnaPANCAN212,gain,CAPN11
cnaPANCAN212,gain,CCND3
cnaPANCAN212,gain,CDC5L
cnaPANCAN212,gain,CLIC5
cnaPANCAN212,gain,CNPY3
cnaPANCAN212,gain,CRIP3
cnaPANCAN212,gain,CUL7
cnaPANCAN212,gain,CUL9
cnaPANCAN212,gain,DLK2
cnaPANCAN212,gain,DNPH1
cnaPANCAN212,gain,FOXP4
cnaPANCAN212,gain,FRS3
cnaPANCAN212,gain,GLTSCR1L
cnaPANCAN212,gain,GNMT
cnaPANCAN212,gain,GTPBP2
cnaPANCAN212,gain,GUCA1A
cnaPANCAN212,gain,GUCA1B
cnaPANCAN212,gain,HSP90AB1
cnaPANCAN212,gain,KLC4
cnaPANCAN212,gain,KLHDC3
cnaPANCAN212,gain,LRFN2
cnaPANCAN212,gain,LRRC73
cnaPANCAN212,gain,MAD2L1BP
cnaPANCAN212,gain,MDFI
cnaPANCAN212,gain,MEA1
cnaPANCAN212,gain,MED20
cnaPANCAN212,gain,MRPL14
cnaPANCAN212,gain,MRPL2
cnaPANCAN212,gain,MRPS10
cnaPANCAN212,gain,MRPS18A
cnaPANCAN212,gain,NCR2
cnaPANCAN212,gain,NFKBIE
cnaPANCAN212,gain,NFYA
cnaPANCAN212,gain,OARD1
cnaPANCAN212,gain,PEX6
cnaPANCAN212,gain,PGC
cnaPANCAN212,gain,POLH
cnaPANCAN212,gain,POLR1C
cnaPANCAN212,gain,PPP2R5D
cnaPANCAN212,gain,PRICKLE4
cnaPANCAN212,gain,PRPH2
